index;question;first;second;third;answer
1;В соответствии с Федеральным законом «Об оружии» граждане Российской Федерации могут применять имеющееся у них на законных основаниях оружие:;Для защиты чести и достоинства граждан при любой угрозе данным правоохраняемым интересам.;Только для защиты жизни и здоровья в состоянии необходимой обороны или крайней необходимости.;Для защиты жизни, здоровья и собственности в состоянии необходимой обороны или крайней необходимости.;3
2;В соответствии с Федеральным законом «Об оружии» применению оружия должно предшествовать четко выраженное предупреждение об этом лица, против которого применяется оружие:;Во всех случаях применения оружия;Кроме случаев, когда правонарушитель скрывается с места правонарушения;За исключением случаев, когда промедление в применении оружия создает непосредственную опасность для жизни людей или может повлечь за собой иные тяжкие последствия;3
3;В соответствии с Федеральным законом «Об оружии» применение огнестрельного оружия гражданами в отношении женщин, лиц с явными признаками инвалидности и несовершеннолетних, когда их возраст очевиден или известен допускается:;В случае применения оружия при ограниченной видимости вследствие погодных условий.;В случае значительного скопления людей.;В случае совершения указанными лицами группового или вооруженного нападения.;3
4;В каких случаях факт того, что гражданин ранее был осужден за преступление, не является препятствием для выдачи ему лицензии на приобретение оружия?;В случае если гражданин имеет судимость за преступление, совершенное по неосторожности, либо в случае погашения или снятия судимости (кроме случая погашения или снятия судимости за тяжкое или особо тяжкое преступление, совершенное с применением оружия).;В случае если гражданин имеет судимость за преступление, совершенное по неосторожности, либо в случае погашения или снятия судимости (включая случай погашения или снятия судимости за тяжкое или особо тяжкое преступление, совершенное с применением оружия).;В случае если гражданин имеет судимость за преступление, совершенное по неосторожности, либо осужден условно.;1
5;Обязаны ли граждане (за исключением специально уполномоченных лиц), являющиеся пассажирами воздушного судна гражданской авиации, сдавать имеющееся у них оружие уполномоченным лицам для временного хранения на период полёта? ;Обязаны во всех случаях.;Обязаны, кроме случаев, когда оружие находится в его багаже.;Не обязаны.;1
6;При необходимой обороне субъектом посягательства, отражаемого обороняющимся, является:;Человек (физическое лицо).;Стихия (силы природы).;Источник повышенной опасности (оружие, автомобиль и пр.).;1
7;Могут ли действия граждан по защите других лиц расцениваться как действия в состоянии необходимой обороны:;Не могут ни при каких условиях.;Могут, если соблюдены условия необходимой обороны, предусмотренные законом.;Могут только в случаях непосредственной угрозы жизни.;2
8;Допускается ли причинение вреда третьим лицам в состоянии необходимой обороны? ;Да, при групповом нападении.;Да, при вооружённом нападении.;Нет.;3
9;В соответствии с Гражданским кодексом РФ вред, причинённый в состоянии крайней необходимости:;Не подлежит возмещению;Во всех случаях подлежит возмещению в полном объёме лицом, причинившим вред;Подлежит возмещению по решению суда;3
10;Причинение вреда, менее значительного, чем предотвращённый вред, является обязательным условием правомерности действий:;В состоянии необходимой обороны;В состоянии крайней необходимости;Как в состоянии необходимой обороны, так и в состоянии крайней необходимости;2
11;Небрежное хранение огнестрельного оружия, создавшее условия для его использования другим лицом, если это повлекло смерть человека или иные тяжкие последствия, влечет:;Уголовную ответственность.;Административную ответственность.;Уголовную и административную ответственность.;1
12;Нарушение гражданами правил ношения оружия и патронов к нему влечет:;Уголовную ответственность;Административную ответственность;Уголовную и административную ответственность;2
13;В соответствии с Федеральным законом «Об оружии» охотничье пневматическое оружие может иметь дульную энергию:;Не более 3 Дж;Не более 7,5 Дж;Не более 25 Дж;3
14;В какой срок и куда в соответствии с Федеральным законом «Об оружии» владелец оружия обязан сообщить о каждом случае его применения?;Незамедлительно, но не позднее суток, прокурору и в органы здравоохранения, по месту применения оружия;Незамедлительно, но не позднее суток, в орган внутренних дел по месту применения оружия;Незамедлительно, но не позднее 6 часов, прокурору, в органы здравоохранения и в орган внутренних дел по месту применения оружия;2
15;Обязан ли гражданин незамедлительно информировать органы внутренних дел в случае, если он применил оружие для производства предупредительного выстрела?;Обязан информировать орган внутренних дел по месту применения оружия;Не обязан, поскольку нет пострадавших;Обязан информировать орган внутренних дел по месту регистрации оружия;1
16;Правилами оборота гражданского и служебного оружия на территории Российской Федерации предусмотрено, что досылание патрона в патронник разрешается:;Только при необходимости применения оружия либо для защиты жизни, здоровья и собственности в состоянии необходимой обороны или крайней необходимости;При необходимости применения оружия, а также в любых других опасных ситуациях;При необходимости применения оружия, а также при охране денежных средств и ценных грузов;1
17;На основании Правил оборота гражданского и служебного оружия на территории Российской Федерации граждане, осуществляющие ношение оружия, должны иметь при себе:;Документы, удостоверяющие их личность, паспорт на оружие от предприятия-производителя;Выданное органом внутренних дел разрешение на хранение и ношение имеющегося у них оружия, медицинское заключение об отсутствии медицинских противопоказаний к владению оружием;Документы, удостоверяющие их личность, а также выданные органом внутренних дел лицензию либо разрешение на хранение и ношение имеющегося у них оружия;3
18;В соответствии с Федеральным законом «Об оружии» к основным частям огнестрельного оружия относятся:;Ствол, затвор, барабан, рамка, ствольная коробка;Ствол, затворная рама, крышка ствольной коробки, приклад, рукоятка;Ствол, магазин, барабан, рамка, ствольная коробка, патрон;1
19;В соответствии с Федеральным законом «Об оружии» к огнестрельному оружию ограниченного поражения могут быть отнесены:;Короткоствольное оружие и длинноствольное оружие, использующее патроны травматического действия;Короткоствольное оружие и бесствольное оружие, использующее патроны травматического действия;Короткоствольное, длинноствольное оружие и бесствольное оружие, использующее патроны травматического действия;2
20;В соответствии с Федеральным законом «Об оружии» к газовому оружию относится:;Оружие, предназначенное для поражения цели на расстоянии снарядом, получающим направленное движение за счет энергии сжатого, сжиженного или отвержденного газа;Оружие, предназначенное для временного поражения живой цели путем применения слезоточивых, раздражающих веществ, или патронов травматического действия;Оружие, предназначенное для временного химического поражения живой цели путем применения слезоточивых или раздражающих веществ;3
21;В соответствии с Гражданским кодексом Российской Федерации вред, причиненный в состоянии необходимой обороны:;Подлежит возмещению, только если превышает установленный законом минимальный размер оплаты труда;Не подлежит возмещению, если при этом не были превышены пределы необходимой обороны;В любом случае подлежит возмещению лицом, причинившим вред;2
22;В соответствии с Федеральным законом «Об оружии» общее количество приобретенного гражданином Российской Федерации огнестрельного оружия ограниченного поражения (за исключением случаев, если указанное оружие является объектом коллекционирования) не должно превышать:;Две единицы;Три единицы;Пять единиц;1
23;В соответствии с Федеральным законом «Об оружии» общее количество приобретенного гражданином Российской Федерации огнестрельного гладкоствольного длинноствольного оружия (за исключением случаев, если указанное оружие является объектом коллекционирования) не должно превышать:;Две единицы;Три единицы;Пять единиц;3
24;В соответствии с Федеральным законом «Об оружии» по лицензии на приобретение газовых пистолетов, револьверов допускается их регистрация в количестве:;Не более двух единиц;Не более трёх единиц;Не более пяти единиц;3
25;В соответствии с Федеральным законом «Об оружии» лицензия на приобретение оружия не выдается гражданам Российской Федерации, совершившим повторно в течение года:;Любое административное правонарушение;Административное правонарушение, посягающее на институты государственной власти, либо административное правонарушение, посягающее на права граждан;Административное правонарушение, предусматривающего административный арест в качестве одного из видов административного наказания, а также привлеченным к административной ответственности за потребление наркотических средств или психотропных веществ без назначения врача либо новых потенциально опасных психоактивных веществ, за управление транспортным средством в состоянии опьянения либо передачу управления транспортным средством лицу, находящемуся в состоянии опьянения, - до истечения одного года со дня окончания срока, в течение которого лицо считается подвергнутым административному наказанию;3
26;За стрельбу из оружия в отведенных для этого местах с нарушением установленных правил:;Не предусмотрено административного наказания;Предусмотрено предупреждение или наложение административного штрафа;Предусмотрено наложение административного штрафа с конфискацией оружия и патронов к нему или без такой;3
27;Федеральным законом «Об оружии» предусмотрена регистрация приобретенного огнестрельного оружия, огнестрельного оружия ограниченного поражения и охотничьего пневматического оружия с дульной энергией свыше 7,5 Дж, а также газовых пистолетов и револьверов, в органах внутренних дел по месту жительства:;В двухнедельный срок;В месячный срок;В трёхмесячный срок;1
28;В соответствии с Уголовным кодексом РФ к уголовно наказуемым деяниям относится:;Причинение тяжкого вреда здоровью по неосторожности, совершенное при превышении пределов необходимой обороны;Умышленное причинение тяжкого вреда здоровью, совершенное при превышении пределов необходимой обороны;Умышленное причинение любого вреда здоровью, совершенное при превышении пределов необходимой обороны;2
29;Заведомое оставление без помощи лица, находящегося в опасном для жизни или здоровья состоянии и лишенного возможности принять меры к самосохранению (в том случае, если виновный имел возможность оказать помощь этому лицу и сам поставил его в опасное для жизни или здоровья состояние) является:;Преступлением;Административным правонарушением;Деянием, ответственность за которое не предусмотрена;1
30;Нарушение гражданином установленных сроков регистрации приобретенного по лицензиям органов внутренних дел оружия, а равно установленных сроков продления (перерегистрации) разрешений (открытых лицензий) на его хранение и ношение или сроков постановки оружия на учет в органах внутренних дел при изменении гражданином постоянного места жительства влечет:;Уголовную ответственность;Административную ответственность;Гражданско-правовую ответственность;2
31;За стрельбу из оружия в населенных пунктах или в других не отведенных для этого местах:;Не предусмотрено административного наказания;Предусмотрено предупреждение или наложение административного штрафа;Предусмотрено наложение административного штрафа с конфискацией оружия и патронов к нему либо лишение права на приобретение и хранение или хранение и ношение оружия на срок от полутора до трех лет с конфискацией оружия и патронов к нему;3
32;В соответствии с нормативными правовыми актами Министерства внутренних дел Российской Федерации результаты прохождения проверки знания правил безопасного обращения с оружием и наличия навыков безопасного обращения с оружием оформляются:;Актом прохождения проверки;Свидетельством о прохождении проверки;Экзаменационным листом;1
33;Решение об аннулировании лицензий и разрешений (на приобретение, на хранение, хранение и использование, хранение и ношение оружия и т.д.) принимают:;Органы местного самоуправления либо органы внутренних дел;Органы, уполномоченные на выдачу охотничьих билетов;Органы внутренних дел;3
34;Проверка знания правил безопасного обращения с оружием и наличия навыков безопасного обращения с оружием владельцами огнестрельного оружия ограниченного поражения, газовых пистолетов, револьверов, гражданского огнестрельного гладкоствольного длинноствольного оружия самообороны проводится:;Не реже одного раза в год;Не реже одного раза в три года;Не реже одного раза в пять лет;3
35;Для продления срока действия лицензий, а также разрешений на хранение, хранение и использование, хранение и ношение оружия их владельцы представляют необходимые заявления и документы в орган внутренних дел по месту учета оружия:;Не ранее чем за шесть месяцев и не позднее, чем за один месяц до дня окончания срока его действия;Не ранее чем за шесть месяцев и не позднее, чем за два месяца до истечения срока действия;Не ранее чем за шесть месяцев и не позднее, чем за три месяца до истечения срока действия;1
36;При выдаче новых лицензий и разрешений ранее полученные, с истекшим сроком действия:;Остаются у владельца оружия;Подлежат сдаче в органы внутренних дел;Подлежат сдаче в органы внутренних дел, только если выдавались на огнестрельное оружие;2
37;По достижении какого возраста граждане Российской Федерации имеют право на приобретение газового оружия, спортивного оружия, сигнального оружия, холодного клинкового оружия, предназначенного для ношения с национальными костюмами народов Российской Федерации или казачьей формой?;19 лет.;" ""18 лет.""";" ""21 лет.""";2
38;Возраст, по достижении которого граждане Российской Федерации могут получить разрешения на хранение или хранение и ношение охотничьего огнестрельного гладкоствольного оружия:;Может быть снижен по решению законодательного (представительного) органа государственной власти субъекта Российской Федерации, не более чем на два года.;Может быть снижен по решению законодательного (представительного) органа государственной власти субъекта Российской Федерации, не более чем на один год.;Не может быть снижен.;1
39;В соответствии с Федеральным законом «Об оружии» огнестрельное оружие ограниченного поражения иностранного производства, его основные части, а также патроны травматического действия, изготовленные за пределами территории Российской Федерации:;Подлежат ввозу в Российскую Федерацию, если их технические характеристики соответствуют аналогичным моделям отечественного производства.;Подлежат ввозу в Российскую Федерацию.;Не подлежат ввозу в Российскую Федерацию.;3
40;В случае изменения места жительства гражданин Российской Федерации обязан обратиться с заявлением о постановке на учет принадлежащего ему оружия:;В орган внутренних дел по прежнему месту жительства в двухнедельный срок со дня регистрации;В соответствующий орган внутренних дел по новому месту жительства в двухнедельный срок со дня регистрации;В органы внутренних дел по прежнему, а также по новому месту жительства, в течении месяца со дня регистрации;2
41;Оружие, находящееся на законных основаниях на праве личной собственности у гражданина Российской Федерации может быть продано другому гражданину, имеющему лицензию на приобретение оружия, его коллекционирование или экспонирование:;После перерегистрации оружия в органах внутренних дел по месту жительства лица, приобретающего оружие.;" ""После внесения записи о перерегистрации оружия в лицензию нового владельца самим гражданином, продающим оружие.""";После перерегистрации оружия в органах внутренних дел по месту учета указанного оружия.;3
42;Согласно Правил оборота гражданского и служебного оружия и патронов к нему на территории Российской Федерации, принадлежащие гражданам Российской Федерации оружие и патроны по месту их проживания:;Должны храниться с соблюдением условий, обеспечивающих их сохранность, безопасность хранения и исключающих доступ к ним посторонних лиц, в запирающихся на замок (замки) сейфах, сейфовых шкафах или металлических шкафах для хранения оружия, ящиках из высокопрочных материалов либо в деревянных ящиках, обитых железом.;Должны храниться с соблюдением условий, обеспечивающих их сохранность, безопасность хранения и исключающих доступ к ним посторонних лиц, в любых запирающихся на замок ящиках.;Хранятся в произвольном порядке.;1
43;Согласно Правил оборота гражданского и служебного оружия и патронов к нему на территории Российской Федерации, хранение оружия и патронов гражданами Российской Федерации в местах временного пребывания:;Должно осуществляться с соблюдением условий, исключающих доступ к оружию посторонних лиц.;Должно осуществляться с соблюдением условий, исключающих доступ к оружию посторонних лиц и только в запирающихся на замок (замки) сейфах или металлических шкафах для хранения оружия, ящиках из высокопрочных материалов либо в деревянных ящиках, обитых железом.;Осуществляется в произвольном порядке.;1
44;Хранение оружия и патронов, принадлежащего гражданам Российской Федерации, являющихся членами спортивных стрелковых обществ и клубов на спортивных стрелково-стендовых объектах по месту проведения тренировочных стрельб и соревнований:;Допускается.;Не допускается.;Допускается только при условии, что названные граждане являются спортсменами высокого класса.;1
45;Граждане Российской Федерации, которым в установленном порядке предоставлено право на охоту, имеют право приобретать охотничье огнестрельное оружие с нарезным стволом:;При условии, что они занимаются профессиональной деятельностью, связанной с охотой, либо имеют в собственности охотничье огнестрельное гладкоствольное длинноствольное оружие не менее трех лет.;При условии, что они занимаются профессиональной деятельностью, связанной с охотой, либо имеют в собственности охотничье огнестрельное гладкоствольное длинноствольное оружие не менее пяти лет.;Только в случае, если они имеют в собственности охотничье огнестрельное гладкоствольное длинноствольное оружие не менее пяти лет.;2
46;Согласно Правил оборота гражданского и служебного оружия и патронов к нему на территории Российской Федерации, транспортирование принадлежащего гражданам оружия:;Осуществляется в произвольном порядке.;"Осуществляется в кобурах, чехлах; при их отсутствии - в ингибиторной бумаге.";Осуществляется в чехлах, кобурах или специальных футлярах, а также в специальной упаковке производителя оружия.;3
47;Продление срока действия лицензий и разрешений, выданных гражданам, осуществляется:;В порядке, установленном для их выдачи, после проверки условий хранения оружия по месту жительства граждан и проведения контрольного отстрела огнестрельного оружия с нарезным стволом, путем внесения соответствующей записи о продлении в ранее выданные лицензии и разрешения.;В порядке, установленном для их выдачи, но без проверки условий хранения оружия по месту жительства граждан и без проведения контрольного отстрела огнестрельного оружия с нарезным стволом, с оформлением новой лицензии или разрешения.;В порядке, установленном для их выдачи, после проверки условий хранения оружия по месту жительства граждан и проведения контрольного отстрела огнестрельного оружия с нарезным стволом, с оформлением новой лицензии или разрешения.;3
48;Имеют ли право на необходимую оборону лица, имеющие возможность избежать общественно опасного посягательства или обратиться за помощью к другим лицам или органам власти?;Да, имеют.;Нет, не имеют.;Имеют, если посягательство сопряжено с насилием, опасным для жизни обороняющегося.;1
49;Правилами оборота гражданского и служебного оружия и патронов к нему на территории Российской Федерации установлен следующий порядок ношения огнестрельного короткоствольного оружия:;В кобуре, со снаряженным магазином или барабаном, поставленным на предохранитель (при наличии).;В кобуре, с патроном в патроннике, со взведенным курком;В кобуре, с патроном в патроннике, поставленным на предохранитель (при наличии).;1
50;В соответствии с Федеральным законом «Об оружии» на территории Российской Федерации ношение гражданами в целях самообороны огнестрельного длинноствольного оружия и холодного оружия:;Разрешается на территории того субъекта Российской Федерации, в котором проживает владелец указанного оружия;Разрешается на всей территории Российской Федерации;Запрещается, за исключением случаев перевозки или транспортирования указанного оружия;3
51;В соответствии с Федеральным законом «Об оружии» гражданское огнестрельное оружие (за исключением спортивного оружия) должно иметь емкость магазина (барабана):;Не более 8 патронов;Не более 10 патронов;Не более 12 патронов;2
52;Требованиями охотничьего минимума установлено, что осуществление охоты не допускается:;Ближе 15 метров от линий электропередач;В одежде ярких расцветок;В состоянии алкогольного, наркотического опьянения;3
53;Правилами охоты установлено, что в целях обеспечения безопасности при осуществлении охоты запрещается:;Стрелять «на шум», «на шорох», по неясно видимой цели;Стрелять, если цель находится на возвышенности;Стрелять в болотистой местности;1
54;Правилами охоты установлено, что в целях обеспечения безопасности при осуществлении охоты запрещается осуществлять добычу охотничьих животных с применением охотничьего огнестрельного и (или) пневматического оружия ближе:;100 метров от жилья;200 метров от жилья;300 метров от жилья;2
55;Правилами охоты установлено, что в целях обеспечения безопасности при осуществлении охоты запрещается:;Стрелять по пернатой дичи, находящейся в стае;Стрелять по пернатой дичи, сидящей на нижних ветках деревьев;Стрелять по пернатой дичи, сидящей на проводах и опорах (столбах) линий электропередач;3
56;Правилами охоты установлено, что в целях обеспечения безопасности при осуществлении охоты запрещается стрелять вдоль линии стрелков, когда снаряд может пройти ближе:;25 метров от соседнего стрелка;20 метров от соседнего стрелка;15 метров от соседнего стрелка;3
57;Правилами охоты установлено, что в целях обеспечения безопасности при осуществлении охоты запрещается организовывать загон охотничьих животных:;При котором животных загоняют в направлении к реке или иному водоему;При котором охотники движутся внутрь загона, окружая оказавшихся в загоне животных;При котором загонщики используют какие-либо дополнительные средства производства шума, помимо собственного голоса;2
58;Правилами охоты установлено, что на коллективной охоте для добычи охотничьих животных запрещается:;Применение полуавтоматического оружия с магазином вместимостью более пяти патронов;Применение полуавтоматического оружия с магазином вместимостью более четырех патронов;Применение любого полуавтоматического оружия;1
59;Правилами охоты установлено, что при осуществлении охоты запрещается применение охотничьего огнестрельного гладкоствольного оружия для охоты на пернатую дичь:;Снаряженного дробью (картечью) крупнее пяти миллиметров и пулями;Снаряженного дробью (картечью) крупнее четырех миллиметров и пулями;Снаряженного дробью (картечью) крупнее трех миллиметров и пулями;1
60;В соответствии с Кодексом РФ об административных правонарушениях нарушение правил пользования объектами животного мира и правил охоты влечет для граждан:;Наложение административного штрафа с конфискацией орудий охоты или без таковой или административный арест до 15 суток;Наложение административного штрафа с конфискацией орудий охоты или без таковой или лишение права осуществлять охоту на срок до двух лет;Только аннулирование (изъятие) охотничьего билета;2
61;По достижении какого возраста граждане Российской Федерации (за исключением граждан, прошедших либо проходящих военную службу, а также граждан, проходящих службу в государственных военизированных организациях и имеющих воинские звания либо специальные звания или классные чины) имеют право на приобретение гражданского огнестрельного оружия ограниченного поражения, огнестрельного гладкоствольного длинноствольного оружия самообороны, охотничьего оружия?;18 лет.;21 год.;25 лет.;2
62;Согласно Правил оборота гражданского и служебного оружия и патронов к нему на территории Российской Федерации, граждане Российской Федерации осуществляют ношение и использование оружия (с учетом ограничений, установленных Федеральным законом «Об оружии»):;Во время охоты, проведения спортивных мероприятий, тренировочных и учебных стрельб, а также в целях самообороны.;Во время охоты, проведения спортивных мероприятий, тренировочных и учебных стрельб.;Только во время охоты и в целях самообороны.;1
63;В соответствии с Федеральным законом «Об оружии» осмотр врачом-психиатром и врачом-психиатром-наркологом при проведении медицинского освидетельствования на наличие медицинских противопоказаний к владению оружием осуществляется:;В любых медицинских организациях.;В медицинских организациях государственной или муниципальной системы здравоохранения только по месту жительства гражданина Российской Федерации.;В медицинских организациях государственной или муниципальной системы здравоохранения по месту жительства (пребывания) гражданина Российской Федерации.;3
64;В соответствии с Федеральным законом «Об оружии» запрещается ношение огнестрельного оружия:;На стрелковых объектах.;В состоянии опьянения.;За пределами субъекта Российской Федерации, где зарегистрировано огнестрельное оружие.;2
65;В соответствии с Федеральным законом «Об оружии» запрещается ношение гражданами огнестрельного оружия ограниченного поражения:;На стрелковых объектах.;Во время нахождения в организациях, предназначенных для развлечения и досуга (независимо от времени их работы и факта реализации в них алкогольной продукции), за исключением случаев ношения такого оружия лицами, осуществляющими в соответствии с законодательством Российской Федерации охрану указанных организаций.;Во время нахождения в организациях, предназначенных для развлечения и досуга, осуществляющих работу в ночное время и реализующих алкогольную продукцию, за исключением случаев ношения такого оружия лицами, осуществляющими в соответствии с законодательством Российской Федерации охрану указанных организаций.;3
66;Линией прицеливания называется:;Линия, проходящая от центра ствола в точку прицеливания;Прямая линия, проходящая от глаза стрелка через середину прорези прицела (на уровне с ее краями) и вершину мушки в точку прицеливания;Линия, описываемая центром тяжести пули в полете;2
67;Траекторией полета пули называется:;Кривая линия, описываемая центром тяжести пули в полете;Прямая линия, проходящая от глаза стрелка через середину прорези прицела (на уровне с ее краями) и вершину мушки в точку прицеливания;Прямая линия от центра ствола до точки попадания;1
68;Прямым выстрелом называется:;Выстрел, при котором траектория полета пули поднимается над линией прицеливания выше цели не более, чем на одной трети своего протяжения;Выстрел, при котором ствол оружия и линия плеч стрелка составляют прямой угол;Выстрел, при котором траектория полета пули не поднимается над линией прицеливания выше цели на всем своем протяжении;
69;Каков порядок действий стрелка при проведении стрельб в тирах и на стрельбищах?;Стрелок самостоятельно выходит на линию огня, по команде «Заряжай» заряжает оружие и по команде «Огонь» ведет огонь;Стрелок по команде «На линию огня» выходит на огневой рубеж, самостоятельно заряжает, стреляет;Стрелок выходит, заряжает, стреляет, производит иные действия только по мере получения отдельных команд;
70;Какова предельная дальность полета пуль из огнестрельного гладкоствольного длинноствольного оружия 12 калибра?;1000 - 1500 метров;300 - 500 метров;100 - 300 метров;
71;В случае задержки при стрельбе из пистолета в тире необходимо:;Осторожно вынуть магазин из основания рукоятки, устранить причину задержки, продолжить выполнение упражнения;Поставить оружие на предохранитель, вынуть магазин из основания рукоятки, сдать оружие руководителю стрельб (инструктору);Не производить никаких действий с оружием и, удерживая его в направлении мишени, доложить руководителю стрельб (инструктору) о задержке и действовать по его команде;
72;Как следует производить перезарядку огнестрельного гладкоствольного длинноствольного оружия с помповым механизмом?;Быстрым движением цевья назад, и не задерживая в заднем положении, быстрым вперед;Медленно назад и быстро вперед;Быстро назад и медленно вперед;
73;Безопасное использование оружия предполагает в период непосредственного применения:;Держать указательный палец вдоль спусковой скобы, переставляя его на спусковой крючок только перед выстрелом;Держать указательный палец всегда на спусковом крючке;Удерживая оружие двумя руками, всегда держать указательные пальцы (один на другом) на спусковом крючке;
74;Безопасное использование оружия предполагает в период непосредственного применения:;Ни при каких обстоятельствах не ставить оружие на предохранитель;Не ставить оружие на предохранитель после досылания патрона в патронник, даже если оружие не применяется сразу после досылания патрона;Ставить оружие на предохранитель после досылания патрона в патронник, если оружие не применяется сразу после досылания патрона;
75;Безопасное использование оружия предполагает в период непосредственного применения:;При досылании патрона в патронник не отвлекаться на контроль направления ствола оружия;Осуществлять обязательный контроль направления ствола оружия при досылании патрона в патронник для исключения возможного вреда самому владельцу оружия, посторонним лицам и имуществу;Осуществлять контроль направления ствола оружия при досылании патрона в патронник только в ситуациях близости несовершеннолетних или ценного имущества;
76;Безопасное использование оружия при его ношении предполагает передачу оружия лицу, уполномоченному на его проверку:;С патроном в патроннике и присоединенным магазином;С отсоединенным магазином и после проверки факта отсутствия патрона в патроннике;В том состоянии, которого потребовал проверяющий;
77;При стрельбе в тире в противошумовых наушниках или защитных очках действуют следующие правила:;Следует закрепить их во избежание падения во время стрельбы;Запрещается одевать, поправлять и снимать их с оружием в руках;Разрешается одевать, поправлять и снимать их с оружием в руках;
78;Во время перемещения по тиру или стрельбищу (осмотр мишеней и т.п.) в соответствии с мерами по обеспечению безопасности:;Оружие должно находиться в руках стрелка;Оружие должно находиться в кобуре стрелка или на столике стрелка в разряженном и поставленном на предохранитель виде;Оружие по усмотрению стрелка либо находится в руках стрелка, либо помещается в кобуру стрелка;
79;Неполная разборка пистолета (для пистолетов, по конструкции сходных с пистолетом Макарова) производится в следующем порядке:;Отделить затвор, отвинтить винт рукоятки, отделить рукоятку от рамки, снять возвратную пружину;Выключить предохранитель (если таковой имеется), отвести спусковую скобу вниз и влево, отделить затвор от рамки, поставить спусковую скобу на место, снять со ствола возвратную пружину;Извлечь магазин из основания рукоятки, выключить предохранитель (если таковой имеется), убедиться в отсутствии патрона в патроннике, отвести спусковую скобу вниз и влево, отделить затвор от рамки, поставить спусковую скобу на место, снять со ствола возвратную пружину;
80;Отдачей оружия называется:;Подбрасывание ствола оружия в вертикальной плоскости при выстреле;Движение ствола и связанных с ним деталей оружия в сторону, противоположную движению снаряда (пули) во время выстрела;Передача разряженного и поставленного на предохранитель оружия инструктору (руководителю стрельбы) по окончании стрельб;
81;Согласно рекомендациям предприятий-производителей после стрельбы из пистолетов (револьверов) газовыми патронами их чистка производится:;Сухой тканью;Тканью, смоченной спиртом или спиртовым раствором;Тканью, смоченной ружейной смазкой;
82;Смазку оружия положено производить:;Одновременно с чисткой;По истечении 10 минут после чистки;Немедленно после чистки;
83;Для эффективного поражения цели предполагается ведение огня (в зависимости от дистанции):;На дистанции, не превышающей рекомендуемую для данного оружия;На любой дистанции (в том числе и превышающей рекомендуемую для данного оружия);На дистанции, не превышающей максимальную дальность полета пули из данного оружия;
84;Меры безопасности при проведении на стрелковых объектах специальных упражнений (связанных с поворотами, разворотами, кувырками, перекатами и т.п.) предполагают:;Обязательное применение оружия, предназначенного для подразделений специального назначения;Нахождение оружия на предохранителе вплоть до момента открытия огня, направление оружия и производство выстрелов только по мишеням, установленных перед пулеприемником (пулеприемниками);Надежное удержание оружия при передвижениях, без каких-либо дополнительных требований;
85;Для временного прекращения стрельбы в тире (на стрельбище) подается команда:;«Оружие к осмотру»;«Разряжай»;«Стой»;
